Wide(Inches),Weight(Pounds),Ram Size(GB),Ram Type,HDD,Processor,Battery(mAh),Camera(MP),Display,Label
11.7,0.85,2,DDR4,16GB,1.8,4033,1.3,AMOLED,5
3.1,0.179,16,DR2,32GB,2.36,2782,32,OLED,6
13.2,5.69,4,DDR3,256GB,1.95,5421,1.2,AMOLED,1
14.6,4.23,2,DDR4,256GB,2.53,3496,4,AMOLED,2
15.7,2.38,16,DDR3,512GB,2.71,3774,1.2,LED,3
14.3,3.75,8,DR2,128GB,4.31,4441,1.3,LTPS-SCREEN,4
11.0,1.33,8,DR2,32GB,1.5,4784,4,IPS,5
5.3,0.144,2,DDR4,64GB,2.5,2036,12,LTPS-SCREEN,6
15.8,6.47,16,DDR4,128GB,2.54,2044,3.1,OLED,1
14.5,4.39,8,DDR3,512GB,2.45,2790,4,LED,2
15.8,2.38,2,DDR4,256GB,3.05,2877,4,LED,3
14.4,3.74,4,DR2,1TB,4.12,3689,2.1,IPS,4
11.3,1.61,2,DDR4,16GB,1.5,4717,10,LTPS-SCREEN,5
4.6,0.135,8,DR2,32GB,2.5,3134,12,AMOLED,6
14.2,5.74,4,DDR4,256GB,2.13,3840,4,IPS,1
15.6,4.24,4,DDR3,512GB,2.88,3798,3.1,IPS-LCD,2
15.8,2.78,16,DR2,512GB,2.65,4848,2.1,OLED,3
14.7,3.24,16,DR2,1TB,3.87,4266,1.9,AMOLED,4
11.0,1.41,2,DDR4,16GB,1.3,4175,1.3,LED,5
3.3,0.178,8,DDR3,64GB,1.3,3415,4,LED,6
14.5,6.44,16,DDR4,1TB,2.7,4129,4,AMOLED,1
15.4,4.32,16,DR2,1TB,2.42,3628,4,OLED,2
15.6,2.8,4,DDR4,512GB,3.43,2577,1.2,OLED,3
14.4,3.74,4,DR2,256GB,4.23,4579,2.1,LTPS-SCREEN,4
11.9,1.51,8,DDR3,32GB,2.36,2811,13,OLED,5
4.4,0.182,8,DR2,16GB,1.5,1313,108,LTPS-SCREEN,6
15.6,2.96,16,DDR4,512GB,2.3,4702,3.1,OLED,1
14.1,5.65,8,DDR4,512GB,2.3,2972,1.2,OLED,2
15.8,2.48,4,DDR3,1TB,2.35,4468,2.1,LTPS-SCREEN,3
15.2,3.6,4,DDR3,128GB,3.99,4745,1.9,IPS,4
11.6,1.39,16,DDR3,32GB,2.36,4500,12,IPS-LCD,5
5.5,0.131,8,DDR3,64GB,2.36,3417,1.3,IPS-LCD,6
14.7,2.22,4,DR2,256GB,3.14,5439,1.2,LED,1
15.0,5.83,16,DDR3,256GB,2.32,2619,4,IPS,2
15.8,2.96,4,DDR3,1TB,2.48,4881,1.9,IPS,3
14.0,2.98,16,DDR4,512GB,4.1,3965,4,OLED,4
11.3,1.66,16,DDR3,32GB,1.8,4841,12,AMOLED,5
3.2,0.138,8,DDR3,16GB,1.8,845,108,OLED,6
15.9,5.25,4,DR2,512GB,3.25,3883,1.9,LED,1
14.5,4.98,4,DR2,512GB,2.92,3760,1.3,LED,2
15.9,2.35,2,DDR3,128GB,2.85,5741,3.1,AMOLED,3
14.4,3.56,2,DR2,512GB,4.05,4243,3.1,AMOLED,4
11.8,1.66,4,DDR3,64GB,2.36,4951,6,IPS-LCD,5
4.3,0.153,16,DDR3,32GB,1.5,3871,6,OLED,6
15.4,4.85,2,DR2,1TB,2.65,3440,1.2,AMOLED,1
15.1,5.35,2,DDR3,1TB,2.87,3237,4,LTPS-SCREEN,2
15.8,2.54,16,DDR3,1TB,2.71,3349,2.1,OLED,3
15.4,3.31,4,DR2,128GB,4.17,4814,4,IPS-LCD,4
11.4,1.4,2,DDR3,16GB,1.3,3022,3,OLED,5
4.4,0.15,2,DDR3,16GB,1.5,1834,6,LED,6
13.9,2.77,16,DDR4,128GB,3.01,3891,1.2,LTPS-SCREEN,1
15.2,4.37,4,DR2,256GB,2.37,3535,1.3,AMOLED,2
15.6,2.81,16,DDR3,128GB,2.85,3184,4,AMOLED,3
14.9,2.93,8,DDR4,512GB,4.46,4574,1.3,LED,4
10.5,1.27,16,DDR4,64GB,1.8,4409,12,IPS,5
4.8,0.15,4,DDR4,64GB,1.8,1557,16,IPS-LCD,6
15.2,4.47,2,DR2,1TB,2.28,2476,1.3,IPS-LCD,1
15.4,4.53,16,DDR3,128GB,2.59,3973,1.9,AMOLED,2
15.6,2.89,2,DDR3,128GB,2.91,4506,2.1,LTPS-SCREEN,3
14.4,3.76,4,DDR4,128GB,4.03,4058,3.1,LTPS-SCREEN,4
10.8,1.0,16,DR2,16GB,2.36,3822,3,OLED,5
3.0,0.152,2,DR2,64GB,2.36,3671,1.3,IPS-LCD,6
13.2,4.2,16,DR2,1TB,3.41,2311,1.3,IPS-LCD,1
14.2,4.71,16,DR2,256GB,2.44,3374,2.1,IPS-LCD,2
15.8,2.89,2,DR2,128GB,3.49,4993,3.1,LTPS-SCREEN,3
14.3,3.07,16,DDR3,1TB,4.15,4068,1.9,IPS,4
11.6,0.97,8,DDR3,16GB,1.5,3807,8,OLED,5
4.8,0.181,8,DDR4,64GB,2.5,3181,1.3,LED,6
14.5,2.79,16,DDR3,256GB,1.73,2477,1.3,OLED,1
14.4,4.76,4,DR2,1TB,2.5,2637,4,IPS,2
15.9,2.39,16,DR2,128GB,3.38,4235,2.1,AMOLED,3
15.1,3.18,16,DDR3,512GB,4.44,4184,1.9,IPS,4
9.8,1.11,4,DDR3,64GB,1.5,4417,3,IPS-LCD,5
4.3,0.185,4,DDR4,128GB,2.96,1421,3,IPS-LCD,6
14.4,6.68,8,DDR3,128GB,3.02,3105,2.1,IPS-LCD,1
15.1,4.34,4,DDR4,1TB,2.96,3933,3.1,LED,2
16.0,2.82,8,DDR3,512GB,2.7,3334,2.1,IPS-LCD,3
13.8,3.71,4,DDR3,128GB,4.19,3983,4,AMOLED,4
10.2,1.05,8,DDR4,32GB,1.3,3988,8,AMOLED,5
4.1,0.181,2,DDR3,64GB,1.8,2848,6,LTPS-SCREEN,6
13.3,7.87,16,DR2,128GB,3.38,3174,1.3,LTPS-SCREEN,1
14.3,5.58,2,DDR3,512GB,2.77,2511,1.2,IPS,2
16.0,2.93,4,DDR4,1TB,2.38,3968,1.9,IPS-LCD,3
15.5,3.59,8,DR2,128GB,3.77,4781,2.1,LED,4
10.8,1.76,4,DDR3,16GB,1.5,3750,2,IPS,5
5.0,0.154,16,DR2,16GB,1.5,1015,32,IPS,6
14.1,7.37,8,DDR3,256GB,2.01,5637,1.2,IPS-LCD,1
15.6,5.05,8,DR2,128GB,2.65,3958,2.1,IPS-LCD,2
15.9,2.53,8,DDR4,512GB,2.77,3576,1.3,AMOLED,3
14.2,2.97,16,DDR3,512GB,4.46,4524,2.1,AMOLED,4
11.6,1.47,2,DDR3,16GB,1.3,3914,6,AMOLED,5
3.6,0.177,16,DR2,32GB,2.36,1969,3,IPS,6
13.7,5.67,2,DDR3,256GB,2.29,5510,1.3,LED,1
14.4,4.53,16,DDR4,1TB,2.43,3237,1.2,IPS-LCD,2
15.9,2.97,2,DR2,128GB,2.74,4760,1.9,LTPS-SCREEN,3
14.1,3.41,16,DR2,256GB,4.38,4784,1.3,LED,4
11.3,1.66,4,DDR3,16GB,2.36,3221,4,OLED,5
5.5,0.189,2,DDR3,64GB,1.3,2512,3,AMOLED,6
15.6,2.61,16,DR2,256GB,2.78,4246,3.1,IPS-LCD,1
14.0,5.71,2,DDR3,512GB,2.65,3460,3.1,IPS,2
15.8,2.89,4,DDR3,256GB,3.28,2019,3.1,IPS-LCD,3
13.7,3.13,8,DR2,256GB,4.41,3781,1.3,IPS,4
10.4,1.66,4,DDR4,64GB,1.3,4887,2,AMOLED,5
3.9,0.153,2,DDR4,128GB,2.5,964,2,LED,6
14.4,5.17,8,DDR3,128GB,1.74,3070,1.9,IPS,1
15.1,5.6,16,DR2,512GB,2.6,3066,4,IPS,2
15.9,2.94,2,DDR4,256GB,2.91,4736,2.1,LED,3
15.5,3.34,4,DR2,512GB,4.14,4086,4,IPS-LCD,4
10.6,1.49,8,DDR4,64GB,1.3,2998,4,IPS-LCD,5
4.7,0.135,4,DR2,128GB,2.96,2755,16,LTPS-SCREEN,6
13.3,2.1,4,DR2,128GB,2.0,5119,4,AMOLED,1
15.3,5.32,4,DR2,1TB,2.98,2695,4,LED,2
15.9,2.52,2,DDR4,512GB,2.76,3207,1.2,IPS-LCD,3
15.5,3.2,2,DDR4,512GB,4.43,4643,3.1,IPS-LCD,4
10.9,0.73,2,DDR3,16GB,1.3,3566,8,IPS,5
3.7,0.156,16,DDR3,64GB,2.96,1945,6,IPS,6
15.5,3.28,2,DDR3,1TB,3.35,3025,4,AMOLED,1
14.1,5.88,4,DDR3,1TB,2.52,3027,1.9,LTPS-SCREEN,2
15.9,2.71,2,DDR4,128GB,3.28,4732,3.1,LED,3
14.0,3.6,16,DR2,1TB,4.1,4209,1.3,IPS-LCD,4
10.1,0.84,16,DR2,64GB,1.5,3715,3,AMOLED,5
5.3,0.168,16,DDR3,128GB,1.5,2090,8,IPS-LCD,6
15.6,7.93,16,DDR4,256GB,3.4,2198,1.2,LTPS-SCREEN,1
15.6,5.64,8,DDR3,256GB,2.44,2940,1.9,LED,2
15.8,2.79,8,DR2,128GB,2.95,4685,1.3,LED,3
14.4,3.28,16,DDR3,1TB,3.95,4858,3.1,LTPS-SCREEN,4
11.8,1.45,8,DR2,32GB,2.36,3353,13,LTPS-SCREEN,5
4.5,0.173,8,DDR3,64GB,2.5,3417,10,LED,6
15.0,6.43,4,DDR4,1TB,1.65,5024,1.9,LED,1
14.1,5.27,4,DR2,1TB,2.58,2670,1.9,AMOLED,2
15.9,2.62,2,DDR4,512GB,2.72,5940,1.3,OLED,3
13.8,3.34,8,DR2,1TB,3.75,4686,1.9,IPS,4
10.7,0.96,16,DDR3,64GB,1.5,2829,10,IPS,5
3.5,0.148,8,DDR4,16GB,2.5,716,2,LED,6
13.4,3.96,2,DR2,256GB,1.72,4101,1.2,IPS-LCD,1
14.1,4.83,16,DR2,1TB,2.44,2797,1.3,OLED,2
15.8,2.58,8,DDR3,256GB,2.4,4199,1.3,IPS-LCD,3
14.9,3.76,4,DDR3,1TB,4.16,3644,4,AMOLED,4
11.1,1.44,4,DDR3,32GB,2.36,3424,4,LED,5
3.3,0.186,4,DDR4,32GB,2.96,2595,12,LTPS-SCREEN,6
13.5,4.79,8,DDR4,1TB,2.12,2702,1.9,OLED,1
15.5,5.59,4,DDR4,128GB,2.37,3595,1.9,OLED,2
15.8,2.38,8,DDR3,256GB,3.15,4472,1.3,OLED,3
14.6,3.74,4,DDR4,1TB,4.08,4872,2.1,IPS-LCD,4
11.6,1.5,16,DR2,16GB,1.8,4025,6,LTPS-SCREEN,5
4.9,0.162,8,DR2,16GB,1.8,976,4,IPS,6
14.3,2.5,8,DDR3,256GB,2.92,3008,4,AMOLED,1
14.4,5.68,4,DDR4,128GB,2.96,3508,1.3,OLED,2
15.9,2.32,4,DDR4,512GB,2.78,3336,1.2,LTPS-SCREEN,3
13.8,2.98,2,DDR4,512GB,3.92,4319,1.2,AMOLED,4
10.3,1.14,8,DDR4,32GB,1.8,3313,3,LED,5
5.0,0.135,16,DDR3,64GB,1.5,3077,48,IPS-LCD,6
15.9,6.69,2,DR2,512GB,2.15,5100,2.1,LTPS-SCREEN,1
14.5,5.25,4,DDR3,1TB,2.74,3636,1.2,LED,2
15.9,2.74,2,DDR4,128GB,3.13,5626,1.3,LTPS-SCREEN,3
14.6,3.72,16,DDR3,256GB,4.4,4067,1.3,OLED,4
10.7,1.04,8,DDR3,16GB,1.5,2848,10,OLED,5
5.5,0.134,8,DR2,128GB,2.36,3445,2,IPS-LCD,6
15.4,2.85,16,DDR3,512GB,2.7,5172,3.1,LTPS-SCREEN,1
14.6,4.2,2,DDR3,512GB,2.58,3978,1.9,AMOLED,2
16.0,2.45,16,DDR3,1TB,2.94,2384,4,IPS-LCD,3
14.3,3.25,2,DDR4,512GB,4.0,4376,2.1,IPS-LCD,4
9.8,1.21,2,DDR4,64GB,2.36,4663,3,LED,5
3.2,0.18,16,DDR4,64GB,1.3,2798,2,AMOLED,6
15.4,2.79,16,DDR3,1TB,2.07,5621,3.1,LTPS-SCREEN,1
14.3,4.28,16,DR2,1TB,2.92,3818,1.3,OLED,2
15.9,2.34,4,DDR4,512GB,3.04,3510,2.1,LTPS-SCREEN,3
15.4,3.53,2,DR2,512GB,3.82,4361,1.3,OLED,4
10.6,1.24,4,DDR3,16GB,1.3,4198,4,LTPS-SCREEN,5
3.7,0.142,4,DDR4,64GB,2.96,831,1.3,OLED,6
15.8,3.57,2,DR2,1TB,3.18,2447,4,LED,1
14.1,4.31,8,DR2,1TB,2.95,3790,1.3,LTPS-SCREEN,2
16.0,2.49,2,DR2,512GB,2.32,5497,1.2,IPS-LCD,3
14.6,3.44,4,DR2,128GB,3.97,4517,2.1,OLED,4
10.9,1.65,2,DDR3,32GB,1.3,3929,8,IPS,5
4.0,0.176,8,DR2,16GB,2.5,696,12,OLED,6
15.7,7.53,16,DDR3,1TB,3.08,4680,3.1,OLED,1
14.9,5.96,8,DDR3,128GB,2.65,2749,1.9,IPS,2
15.8,2.34,16,DDR4,512GB,2.67,4028,1.3,LTPS-SCREEN,3
14.4,3.55,8,DDR3,1TB,4.48,4450,1.3,IPS-LCD,4
11.1,1.25,4,DR2,64GB,1.8,4190,12,IPS,5
4.6,0.156,4,DDR4,64GB,2.5,1072,13,LTPS-SCREEN,6
15.8,3.05,2,DDR4,1TB,2.41,3562,3.1,IPS-LCD,1
14.8,4.66,2,DR2,1TB,2.62,3859,4,AMOLED,2
16.0,2.72,8,DDR3,1TB,2.75,2807,1.2,IPS,3
14.0,3.38,2,DDR4,512GB,4.07,4370,1.9,IPS,4
11.6,1.12,16,DR2,16GB,1.3,3215,8,LTPS-SCREEN,5
3.4,0.187,8,DDR3,16GB,1.5,1648,16,AMOLED,6
14.4,7.69,4,DR2,512GB,2.01,4960,3.1,IPS-LCD,1
15.5,5.78,4,DDR4,1TB,2.71,2652,1.3,LTPS-SCREEN,2
15.7,2.67,2,DDR3,1TB,3.35,5028,4,OLED,3
13.7,3.17,4,DR2,1TB,4.0,3798,3.1,IPS,4
10.2,0.79,16,DDR4,64GB,1.5,4136,10,IPS-LCD,5
4.5,0.16,16,DR2,64GB,1.3,2324,8,LED,6
14.4,6.33,4,DR2,256GB,2.03,3934,1.2,AMOLED,1
15.5,4.25,8,DR2,128GB,2.49,3338,3.1,IPS,2
15.9,2.81,8,DR2,128GB,3.0,5558,3.1,AMOLED,3
15.3,3.54,2,DR2,256GB,4.5,3942,1.9,OLED,4
11.8,0.84,4,DDR3,64GB,1.3,4550,6,LTPS-SCREEN,5
3.1,0.137,2,DDR4,128GB,1.3,1149,48,LTPS-SCREEN,6
14.3,7.39,16,DDR4,1TB,3.43,2728,4,IPS-LCD,1
14.7,5.58,8,DR2,1TB,2.82,2897,1.2,LED,2
15.9,2.76,4,DR2,128GB,2.98,5525,3.1,LTPS-SCREEN,3
14.9,3.69,16,DDR3,1TB,3.88,4594,3.1,IPS,4
11.9,1.54,8,DR2,16GB,1.8,3262,4,AMOLED,5
5.5,0.158,8,DR2,64GB,1.5,2152,32,OLED,6
15.4,6.06,2,DR2,256GB,2.24,5380,1.2,IPS,1
15.1,5.49,16,DDR4,512GB,2.7,2932,1.9,AMOLED,2
15.8,2.79,4,DDR3,1TB,2.74,4309,2.1,AMOLED,3
14.3,3.61,8,DR2,256GB,3.77,4055,1.9,LED,4
11.7,1.62,4,DDR4,32GB,2.36,4769,10,IPS-LCD,5
3.4,0.146,16,DR2,16GB,2.96,3143,13,IPS-LCD,6
15.0,6.88,2,DDR4,1TB,2.51,5441,3.1,IPS-LCD,1
15.3,4.61,2,DR2,128GB,2.66,2591,1.3,LED,2
15.9,2.72,2,DDR3,512GB,3.29,4378,4,IPS,3
14.6,3.34,4,DDR4,128GB,4.19,4111,2.1,AMOLED,4
11.2,1.68,16,DR2,32GB,2.36,4338,8,LTPS-SCREEN,5
3.0,0.187,8,DDR4,128GB,1.3,3364,1.3,IPS,6
15.7,5.14,2,DDR4,1TB,3.33,5809,1.9,OLED,1
14.8,4.96,2,DDR4,256GB,2.66,2888,3.1,AMOLED,2
16.0,2.66,4,DR2,512GB,3.42,2510,2.1,OLED,3
13.7,3.12,16,DR2,256GB,4.12,3972,4,IPS-LCD,4
11.5,1.0,4,DR2,64GB,1.8,4651,8,LED,5
3.1,0.149,16,DDR3,32GB,2.96,3072,3,OLED,6
13.9,3.65,8,DR2,1TB,2.65,5362,3.1,AMOLED,1
15.2,4.8,4,DDR4,1TB,2.89,2825,4,IPS,2
15.7,2.71,8,DDR4,256GB,3.01,2140,3.1,LED,3
13.7,3.07,2,DDR3,256GB,3.85,4717,1.3,IPS,4
10.5,1.51,2,DDR3,32GB,2.36,2876,3,IPS,5
5.2,0.145,2,DR2,32GB,2.36,2749,32,IPS,6
14.0,4.23,4,DDR4,1TB,2.19,4928,1.3,IPS,1
14.9,4.88,8,DDR3,256GB,2.68,3070,3.1,IPS,2
15.6,2.76,16,DR2,256GB,2.32,5274,2.1,IPS-LCD,3
14.3,3.55,16,DDR3,1TB,4.18,4194,1.9,IPS-LCD,4
11.5,1.75,16,DDR3,16GB,1.3,4672,6,LTPS-SCREEN,5
4.6,0.162,4,DDR4,64GB,2.5,3459,108,IPS-LCD,6
15.5,4.69,4,DDR4,256GB,3.03,4224,3.1,LTPS-SCREEN,1
15.4,5.49,8,DDR4,512GB,2.84,3883,2.1,IPS-LCD,2
15.9,2.72,2,DDR3,1TB,2.49,3981,2.1,IPS,3
15.4,3.08,2,DDR3,256GB,4.13,4826,2.1,OLED,4
10.9,1.54,16,DDR4,32GB,1.5,2962,13,AMOLED,5
3.9,0.14,8,DDR3,32GB,2.36,1573,3,OLED,6
15.7,6.56,4,DDR3,512GB,2.22,5685,1.9,LTPS-SCREEN,1
15.0,4.32,8,DDR3,256GB,2.86,3682,2.1,LTPS-SCREEN,2
15.8,2.5,2,DDR4,512GB,3.05,5263,3.1,AMOLED,3
14.0,3.79,16,DR2,256GB,4.49,3882,1.2,AMOLED,4
9.9,0.79,8,DDR4,32GB,1.5,4640,10,LED,5
5.5,0.153,2,DR2,64GB,1.8,1337,4,OLED,6
13.4,6.85,4,DDR4,512GB,2.1,5429,1.3,LTPS-SCREEN,1
14.8,4.43,2,DDR4,256GB,2.97,2792,1.2,IPS-LCD,2
15.7,2.9,16,DR2,512GB,2.44,5002,3.1,LTPS-SCREEN,3
14.3,2.98,16,DDR3,1TB,4.43,4516,1.3,LTPS-SCREEN,4
10.9,1.57,16,DR2,16GB,1.5,3397,12,IPS-LCD,5
3.4,0.165,2,DDR4,32GB,2.96,3665,4,IPS-LCD,6
14.9,2.89,8,DR2,256GB,2.64,4067,3.1,IPS,1
14.1,4.94,4,DR2,256GB,2.74,2803,1.3,OLED,2
15.9,2.3,2,DDR4,1TB,2.99,4829,4,AMOLED,3
15.1,3.07,4,DDR4,1TB,4.13,4987,1.9,IPS,4
10.8,1.13,4,DR2,16GB,1.5,3816,6,LTPS-SCREEN,5
3.6,0.182,8,DR2,16GB,1.5,3155,48,LED,6
14.4,6.8,4,DDR3,256GB,3.0,5660,4,AMOLED,1
15.1,4.3,16,DDR4,512GB,2.7,2596,2.1,IPS-LCD,2
15.6,2.94,8,DR2,1TB,2.59,4820,2.1,IPS-LCD,3
15.1,3.72,8,DDR4,1TB,3.7,4556,1.2,IPS-LCD,4
11.8,0.73,16,DDR4,64GB,1.3,4254,6,AMOLED,5
3.9,0.145,4,DDR3,32GB,1.5,3677,3,LTPS-SCREEN,6
15.8,7.09,16,DDR3,256GB,2.55,5554,1.2,LTPS-SCREEN,1
15.0,5.74,4,DR2,512GB,2.99,3798,3.1,IPS-LCD,2
15.6,2.63,16,DDR3,256GB,2.41,2612,1.2,AMOLED,3
14.7,2.97,16,DR2,256GB,4.16,3693,1.3,IPS-LCD,4
11.3,0.79,8,DR2,64GB,1.3,3709,2,IPS,5
3.5,0.155,4,DR2,32GB,1.5,1308,8,LED,6
14.1,3.46,16,DR2,256GB,3.18,3909,1.2,AMOLED,1
15.3,4.76,8,DDR3,1TB,2.32,3417,1.9,IPS,2
16.0,2.66,8,DDR3,256GB,2.44,4318,3.1,IPS-LCD,3
13.9,3.69,2,DR2,256GB,4.43,4331,3.1,LED,4
10.7,0.78,4,DDR3,64GB,1.3,4006,12,IPS-LCD,5
4.8,0.169,4,DR2,16GB,2.96,975,8,IPS,6
14.6,7.14,16,DDR4,256GB,2.23,2581,4,IPS,1
15.1,5.8,4,DDR3,128GB,2.32,2814,4,LTPS-SCREEN,2
15.8,2.42,8,DR2,1TB,2.66,3882,2.1,IPS,3
15.3,3.67,2,DDR3,256GB,3.78,4680,1.9,LTPS-SCREEN,4
11.4,1.04,4,DDR3,64GB,1.8,3447,8,IPS,5
3.3,0.133,16,DDR4,64GB,2.36,2924,16,IPS,6
15.6,7.77,8,DDR3,512GB,3.39,3600,1.9,IPS,1
14.7,4.69,8,DR2,1TB,2.86,3820,1.3,LTPS-SCREEN,2
15.7,2.57,16,DDR3,512GB,2.61,4534,3.1,LTPS-SCREEN,3
14.8,3.48,2,DR2,256GB,4.16,4622,4,LTPS-SCREEN,4
10.9,1.18,4,DDR3,32GB,1.3,4746,2,IPS,5
4.6,0.161,4,DDR4,16GB,2.96,840,2,LTPS-SCREEN,6
15.2,3.86,16,DR2,128GB,3.44,5999,1.3,LTPS-SCREEN,1
14.5,4.25,2,DDR3,256GB,2.39,3536,4,IPS-LCD,2
15.7,2.4,8,DDR4,512GB,3.09,5613,2.1,OLED,3
13.6,3.19,16,DDR4,512GB,3.74,3824,1.3,LED,4
11.1,0.83,16,DDR3,16GB,1.3,3009,10,LTPS-SCREEN,5
3.9,0.158,16,DDR3,64GB,2.5,706,8,AMOLED,6
13.1,2.84,16,DR2,128GB,3.47,2071,2.1,AMOLED,1
15.5,4.6,2,DDR3,512GB,2.32,3434,3.1,AMOLED,2
15.7,2.87,4,DDR3,256GB,3.28,5054,4,IPS-LCD,3
13.9,3.11,2,DDR3,1TB,4.24,4752,1.3,LED,4
11.8,1.45,4,DDR3,32GB,2.36,3418,10,IPS,5
3.6,0.182,8,DDR3,32GB,1.3,1936,108,IPS-LCD,6
15.1,2.28,2,DR2,128GB,1.72,3248,2.1,AMOLED,1
15.1,4.17,8,DDR3,128GB,2.97,3993,4,LED,2
15.9,2.62,8,DR2,256GB,2.88,3622,1.9,IPS,3
15.5,2.94,16,DDR4,512GB,4.41,4942,4,OLED,4
10.4,1.77,4,DR2,64GB,2.36,2830,3,IPS-LCD,5
4.0,0.148,2,DDR4,16GB,2.5,1084,4,AMOLED,6
15.4,6.48,4,DDR3,128GB,2.7,5430,4,IPS,1
14.3,4.01,2,DDR4,256GB,2.99,2876,1.9,AMOLED,2
15.7,2.76,8,DDR3,1TB,2.8,3406,2.1,OLED,3
14.2,3.03,2,DR2,512GB,4.36,4342,2.1,LED,4
10.2,0.77,4,DDR4,16GB,1.8,3647,4,LTPS-SCREEN,5
3.8,0.186,8,DR2,16GB,2.5,3796,32,OLED,6
15.7,2.99,2,DDR4,1TB,2.91,2858,1.3,IPS-LCD,1
14.9,4.23,8,DDR4,512GB,2.7,3685,1.2,IPS-LCD,2
15.9,2.5,4,DDR3,256GB,3.09,4909,1.2,LED,3
13.8,3.43,2,DR2,256GB,4.44,4110,4,IPS,4
10.5,1.19,8,DR2,16GB,1.3,4801,12,LTPS-SCREEN,5
5.3,0.136,16,DDR4,16GB,2.96,612,13,LTPS-SCREEN,6
15.8,2.89,2,DDR3,512GB,3.02,5109,2.1,IPS-LCD,1
15.1,4.73,4,DDR4,512GB,2.43,3366,3.1,IPS-LCD,2
15.7,2.81,16,DR2,128GB,3.04,2899,3.1,LED,3
14.6,3.03,2,DDR4,1TB,3.86,4403,4,AMOLED,4
11.5,1.68,2,DDR4,32GB,1.8,4509,2,LED,5
3.2,0.184,8,DR2,32GB,2.5,830,2,LTPS-SCREEN,6
15.6,2.83,8,DR2,128GB,2.16,5348,1.3,OLED,1
14.2,4.29,8,DR2,512GB,2.89,3204,1.2,LTPS-SCREEN,2
15.9,2.7,16,DDR4,512GB,2.36,4853,1.2,IPS-LCD,3
13.7,3.16,8,DR2,1TB,4.5,3774,1.9,IPS,4
11.5,1.58,8,DDR4,64GB,1.8,4763,3,IPS,5
3.6,0.136,8,DR2,32GB,2.96,3500,16,LED,6
13.9,3.91,4,DDR3,1TB,2.09,4566,1.3,IPS,1
14.4,5.91,16,DDR3,1TB,2.53,3107,3.1,OLED,2
15.9,2.61,4,DDR4,512GB,2.43,2485,2.1,IPS-LCD,3
15.3,3.05,16,DR2,128GB,3.99,4693,1.3,IPS-LCD,4
10.2,0.97,16,DR2,16GB,1.3,2913,6,LED,5
5.4,0.137,4,DDR3,16GB,2.96,3736,108,LTPS-SCREEN,6
13.4,3.36,2,DDR3,1TB,1.96,5611,1.3,LED,1
15.4,4.83,2,DDR4,512GB,2.47,2657,2.1,LED,2
15.9,2.32,4,DDR3,1TB,3.15,3119,1.3,IPS-LCD,3
14.9,3.09,8,DDR4,1TB,3.86,4893,3.1,LTPS-SCREEN,4
10.9,1.75,16,DR2,32GB,1.8,2985,10,IPS-LCD,5
5.3,0.168,4,DDR4,128GB,2.96,714,1.3,IPS-LCD,6
15.8,6.3,2,DDR3,128GB,2.71,4655,1.2,AMOLED,1
15.2,5.06,4,DDR4,1TB,2.99,3861,3.1,LTPS-SCREEN,2
15.7,2.58,4,DR2,256GB,3.25,4877,1.3,LTPS-SCREEN,3
14.5,3.36,4,DR2,128GB,3.95,4420,4,LTPS-SCREEN,4
11.2,1.45,8,DDR3,64GB,2.36,3526,2,IPS-LCD,5
5.4,0.171,16,DDR4,16GB,1.5,930,16,LTPS-SCREEN,6
14.3,6.83,8,DDR4,512GB,2.91,4544,1.3,LTPS-SCREEN,1
15.1,4.72,8,DDR4,256GB,2.83,2643,1.3,LED,2
15.9,2.83,4,DDR3,1TB,3.36,4197,2.1,OLED,3
14.5,3.15,2,DDR4,1TB,4.34,3960,2.1,AMOLED,4
11.9,1.25,8,DDR4,32GB,1.5,4543,8,LED,5
4.8,0.146,2,DDR4,128GB,2.36,3340,1.3,LED,6
14.6,3.47,4,DDR3,512GB,2.5,3614,4,OLED,1
15.6,5.71,2,DR2,512GB,2.33,3846,1.2,OLED,2
15.8,2.79,8,DDR3,256GB,2.4,3456,4,OLED,3
15.3,3.76,16,DR2,512GB,3.81,4132,4,IPS-LCD,4
11.4,1.19,16,DR2,64GB,1.8,2989,3,IPS-LCD,5
4.7,0.132,8,DR2,32GB,2.36,1333,16,LTPS-SCREEN,6
14.5,6.82,8,DR2,128GB,2.8,3097,3.1,OLED,1
14.2,5.27,8,DDR4,1TB,2.9,3297,4,LED,2
15.9,2.87,8,DDR3,512GB,2.65,5152,1.9,IPS-LCD,3
15.1,3.64,8,DR2,256GB,4.32,4211,4,LTPS-SCREEN,4
9.9,1.27,4,DDR4,32GB,2.36,2528,10,OLED,5
4.5,0.147,16,DR2,64GB,2.5,3085,48,LTPS-SCREEN,6
14.3,2.1,16,DDR4,256GB,2.71,3195,1.3,LED,1
14.2,4.72,16,DR2,256GB,2.78,2955,1.2,LTPS-SCREEN,2
15.9,2.47,2,DDR3,256GB,3.08,3329,3.1,IPS,3
15.0,2.93,2,DDR4,256GB,3.72,4430,4,LED,4
11.8,0.76,16,DDR3,64GB,1.5,3898,6,LTPS-SCREEN,5
4.6,0.183,2,DDR3,16GB,1.8,1072,16,IPS,6
15.3,5.89,2,DDR3,256GB,2.46,5907,3.1,LED,1
15.1,5.61,8,DDR4,512GB,2.96,3425,3.1,LTPS-SCREEN,2
